cafe,street,user,time,stars,reviews
Bud's Coffee,Queen St E,David Baker,a week ago, 4 stars ,
Bud's Coffee,Queen St E,Michael Bunga,a week ago, 5 stars ,
Bud's Coffee,Queen St E,Jeffrey Taylor,2 weeks ago, 5 stars ,"Great coffee and fresh baked goods.
Talking with Sarah made my day!
What's not to love?"
Bud's Coffee,Queen St E,Dasong Zou,2 weeks ago, 5 stars ,I had a great tea here. Very pleasant.
Bud's Coffee,Queen St E,Carrie T,4 weeks ago, 4 stars ,
Bud's Coffee,Queen St E,Drew L.,a month ago, 4 stars ,
Bud's Coffee,Queen St E,t s,a month ago, 5 stars ,My Flat white was superb.  It’s a tiny spot with very limited seating but it is clean and friendly and the food/coffee is great.  Def. worth a visit
Bud's Coffee,Queen St E,Francesca Arkley,2 months ago, 5 stars ,Best coffee and lemonade and chai lattes! Bud's still has delicious beverages. They no longer have indoor dining
Bud's Coffee,Queen St E,Chief Scout,2 months ago, 5 stars ,
Bud's Coffee,Queen St E,Sean Persad,3 months ago, 5 stars ,Like the sidewalk ordering window. The Americano was good as well
Bud's Coffee,Queen St E,littleyirkie,3 months ago, 3 stars ,Love coffee n service but line blocks sidewalk. Only a problem when I'm not in line!
Bud's Coffee,Queen St E,Vivian Tao,4 months ago, 5 stars ,Amazing breakfast sandwiches !
Bud's Coffee,Queen St E,Wallace Chan (Ultra7),4 months ago, 5 stars ,
Bud's Coffee,Queen St E,Mourad Mrabet,4 months ago, 5 stars ,Small shop (squeezed between two restaurants) but good coffee and nice seating area.
Bud's Coffee,Queen St E,James Shugart,4 months ago, 5 stars ,
Bud's Coffee,Queen St E,chris monster,4 months ago, 5 stars ,"Great cortado, accepts reusable cups - or  enjoy non-disposable on the sidewalk patio."
Bud's Coffee,Queen St E,Lily J. Mills,5 months ago, 5 stars ,
Bud's Coffee,Queen St E,Rizal,5 months ago, 4 stars ,"Nice line up of wholebeans by Quietly and Hatch on display to purchase. Great option for specialty coffee around the area. Surpringly very few to choose from other than the big names. So, glad to have you existing for the neighborhood!👍👍"
Bud's Coffee,Queen St E,Sukanya Telang,5 months ago, 5 stars ,"Absolutely LOVED their coffee! It’s a quaint coffee place, with great service and by far one of the best coffees I’ve had in Downtown! ♥️"
Bud's Coffee,Queen St E,Catherine Marchand,6 months ago, 5 stars ,"Great coffee, friendly staff and a solid assortment of baked goods including vegan options"
Bud's Coffee,Queen St E,Nidhi Arora,7 months ago, 5 stars ,
Bud's Coffee,Queen St E,Col Mackay,7 months ago, 5 stars ,"Super flat white, juice and cakes. Good service and location. Perfect pitstop for The Beaches."
